Preset Table Format
Number of programs = 1
Number of parameters = 42

Parameter	Type	PAD Cascade of songs
OSC1-Detuner-Octave	Float	0.444444
OSC1-Detuner-Fine	Float	0.500000
OSC2-Waveform	Float	0.600000
OSC1-Volume	Float	0.650000
Filter Envelope-Attack	Float	0.747215
Filter Envelope-Decay	Float	0.252724
Filter Envelope-Sustain	Float	0.144475
Filter Envelope-Release	Float	0.001617
Filter Envelope-Amount	Float	0.061007
Filter-Type	Float	0.400000
Filter-Resonance	Float	0.002626
Filter-Cutoff	Float	0.331238
Filter-Tracking	Float	0.373078
Amp Envelope-Attack	Float	0.100000
Amp Envelope-Decay	Float	0.834620
Amp Envelope-Sustain	Float	0.707999
Amp Envelope-Release	Float	0.400238
Delay-EQ On/Off	Float	1.000000
Delay-Delay	Float	0.390604
Delay-Feedback	Float	0.315709
Delay-Mix	Float	0.351752
Knob	Float	0.652401
StepLFO-Sequence	Float Array (16)
1		0.500000
2		0.000000
3		-0.750000
4		-0.250000
5		0.500000
6		0.000000
7		0.000000
8		0.000000
9		0.500000
10		-0.250000
11		-0.750000
12		-0.250000
13		0.500000
14		0.000000
15		-0.500000
16		0.000000
StepLFO-EQ On/Off	Float	1.000000
StepLFO-Temp	Float	0.000000
StepLFO-Smooth	Float	0.000000
OSC2-Volume	Float	0.737500
EQ-EQ On/Off	Float	1.000000
EQ-EQ Low	Float	0.373581
EQ-EQ Mid	Float	0.111314
EQ-EQ High	Float	0.352763
OSC1-Detuner-Octave	Float	0.333333
OSC1-Detuner-Fine	Float	0.500000
UpDown	Float	0.000000
Time Depth	Float	0.005753
Depth	Float	0.843859
Speed	Float	0.101059
Depth	Float	0.380000
Depth	Float	0.381359
Knob	Float	0.477401
Wave Monitor	Float	0.500000
AddOSC-Wavetable	Float Array (128)
1		1.000000
2		0.934375
3		0.918750
4		0.903125
5		0.884896
6		0.866667
7		0.848438
8		0.825000
9		0.762500
10		0.715625
11		0.653125
12		0.575000
13		0.231250
14		0.168750
15		0.129688
16		0.086719
17		0.043750
18		0.012500
19		0.000000
20		0.000000
21		0.000000
22		0.000000
23		0.000000
24		0.000000
25		0.000000
26		0.000000
27		0.000000
28		0.000000
29		0.000000
30		0.000000
31		0.000000
32		0.000000
33		0.000000
34		0.000000
35		0.000000
36		0.000000
37		0.000000
38		0.000000
39		0.000000
40		0.000000
41		0.000000
42		0.000000
43		0.000000
44		0.000000
45		0.000000
46		0.000000
47		0.000000
48		0.000000
49		0.000000
50		0.000000
51		0.000000
52		0.000000
53		0.000000
54		0.000000
55		0.000000
56		0.000000
57		0.000000
58		0.000000
59		0.000000
60		0.000000
61		0.000000
62		0.000000
63		0.000000
64		0.000000
65		0.000000
66		0.000000
67		0.000000
68		0.000000
69		0.000000
70		0.000000
71		0.000000
72		0.000000
73		0.000000
74		0.000000
75		0.000000
76		0.000000
77		0.000000
78		0.000000
79		0.000000
80		0.000000
81		0.000000
82		0.000000
83		0.000000
84		0.000000
85		0.000000
86		0.000000
87		0.000000
88		0.000000
89		0.000000
90		0.000000
91		0.000000
92		0.000000
93		0.000000
94		0.000000
95		0.000000
96		0.000000
97		0.000000
98		0.000000
99		0.000000
100		0.000000
101		0.000000
102		0.000000
103		0.000000
104		0.000000
105		0.000000
106		0.000000
107		0.000000
108		0.000000
109		0.000000
110		0.000000
111		0.000000
112		0.000000
113		0.000000
114		0.000000
115		0.000000
116		0.000000
117		0.000000
118		0.000000
119		0.000000
120		0.000000
121		0.000000
122		0.000000
123		0.000000
124		0.000000
125		0.000000
126		0.000000
127		0.000000
128		0.000000
