Preset Table Format
Number of programs = 1
Number of parameters = 42

Parameter	Type	BASS Round an axis
OSC1-Detuner-Octave	Float	0.444444
OSC1-Detuner-Fine	Float	0.350000
OSC2-Waveform	Float	0.200000
OSC1-Volume	Float	0.712500
Filter Envelope-Attack	Float	0.079727
Filter Envelope-Decay	Float	0.239689
Filter Envelope-Sustain	Float	0.890841
Filter Envelope-Release	Float	0.707968
Filter Envelope-Amount	Float	0.479324
Filter-Type	Float	0.400000
Filter-Resonance	Float	0.620023
Filter-Cutoff	Float	0.312158
Filter-Tracking	Float	0.304383
Amp Envelope-Attack	Float	0.031686
Amp Envelope-Decay	Float	0.508774
Amp Envelope-Sustain	Float	0.524529
Amp Envelope-Release	Float	0.462601
Delay-EQ On/Off	Float	1.000000
Delay-Delay	Float	0.023981
Delay-Feedback	Float	0.256899
Delay-Mix	Float	0.455240
Knob	Float	0.111820
StepLFO-Sequence	Float Array (16)
1		0.000000
2		-1.000000
3		0.000000
4		-1.000000
5		0.000000
6		-1.000000
7		0.000000
8		-1.000000
9		0.000000
10		-1.000000
11		0.000000
12		-1.000000
13		0.000000
14		-1.000000
15		-1.000000
16		-1.000000
StepLFO-EQ On/Off	Float	1.000000
StepLFO-Temp	Float	0.142857
StepLFO-Smooth	Float	0.537500
OSC2-Volume	Float	0.825000
EQ-EQ On/Off	Float	1.000000
EQ-EQ Low	Float	0.900000
EQ-EQ Mid	Float	0.845770
EQ-EQ High	Float	0.000000
OSC1-Detuner-Octave	Float	0.555556
OSC1-Detuner-Fine	Float	0.637500
UpDown	Float	0.000000
Time Depth	Float	0.262984
Depth	Float	0.479080
Speed	Float	0.045096
Depth	Float	0.182000
Depth	Float	0.479080
Knob	Float	0.111820
Wave Monitor	Float	0.500000
AddOSC-Wavetable	Float Array (128)
1		1.000000
2		1.000000
3		1.000000
4		1.000000
5		1.000000
6		0.996875
7		0.996875
8		0.996875
9		0.996875
10		0.996875
11		0.996875
12		0.996875
13		0.996875
14		0.012500
15		0.012500
16		0.012500
17		0.012500
18		0.012500
19		0.012500
20		0.012500
21		0.012500
22		0.012500
23		0.012500
24		0.012500
25		0.009896
26		0.007292
27		0.004688
28		0.000000
29		0.000000
30		0.000000
31		0.000000
32		0.000000
33		0.000000
34		0.000000
35		0.000000
36		0.000000
37		0.000000
38		0.000000
39		0.000000
40		0.000000
41		0.000000
42		0.000000
43		0.000000
44		0.000000
45		0.000000
46		0.000000
47		0.000000
48		0.000000
49		0.000000
50		0.000000
51		0.000000
52		0.000000
53		0.000000
54		0.000000
55		0.000000
56		0.000000
57		0.000000
58		0.000000
59		0.000000
60		0.000000
61		0.000000
62		0.000000
63		0.000000
64		0.000000
65		0.000000
66		0.000000
67		0.000000
68		0.000000
69		0.000000
70		0.000000
71		0.000000
72		0.000000
73		0.000000
74		0.000000
75		0.000000
76		0.000000
77		0.000000
78		0.000000
79		0.000000
80		0.000000
81		0.000000
82		0.000000
83		0.000000
84		0.000000
85		0.000000
86		0.000000
87		0.000000
88		0.000000
89		0.000000
90		0.000000
91		0.000000
92		0.000000
93		0.000000
94		0.000000
95		0.000000
96		0.000000
97		0.000000
98		0.000000
99		0.000000
100		0.000000
101		0.000000
102		0.000000
103		0.000000
104		0.000000
105		0.000000
106		0.000000
107		0.000000
108		0.000000
109		0.000000
110		0.000000
111		0.000000
112		0.000000
113		0.000000
114		0.000000
115		0.000000
116		0.004688
117		0.000000
118		0.000000
119		0.000000
120		0.000000
121		0.000000
122		0.000000
123		0.000000
124		0.000000
125		0.000000
126		0.000000
127		0.000000
128		0.000000
